1	0.3125
2	0.3125
3	0.3125
4	0.3125
5	0.3125
8	0.3125
9	0.3125
10	0.3125
11	0.3125
12	0.3125
1	0.5625
2	0.5625
3	0.5625
4	0.5625
5	0.5625
8	0.5625
9	0.5625
10	0.5625
11	0.5625
12	0.5625
1	0.8125
2	0.8125
3	0.8125
4	0.8125
5	0.8125
8	0.8125
9	0.8125
10	0.8125
11	0.8125
12	0.8125
1	1.0625
2	1.0625
3	1.0625
4	1.0625
5	1.0625
8	1.0625
9	1.0625
10	1.0625
11	1.0625
12	1.0625
1	1.3125
2	1.3125
3	1.3125
4	1.3125
5	1.3125
8	1.3125
9	1.3125
10	1.3125
11	1.3125
12	1.3125
1	1.6875
2	1.6875
3	1.6875
4	1.6875
5	1.6875
8	1.6875
9	1.6875
10	1.6875
11	1.6875
12	1.6875
1	1.9375
2	1.9375
3	1.9375
4	1.9375
5	1.9375
8	1.9375
9	1.9375
10	1.9375
11	1.9375
12	1.9375
1	2.1875
2	2.1875
3	2.1875
4	2.1875
5	2.1875
8	2.1875
9	2.1875
10	2.1875
11	2.1875
12	2.1875
1	2.4375
2	2.4375
3	2.4375
4	2.4375
5	2.4375
8	2.4375
9	2.4375
10	2.4375
11	2.4375
12	2.4375
1	2.6875
2	2.6875
3	2.6875
4	2.6875
5	2.6875
8	2.6875
9	2.6875
10	2.6875
11	2.6875
12	2.6875
